DepMap_ID,cell_line,COSMIC_ID,Biological_sex,Age,Lineage,Y_ploidy,X_ploidy,Genotype,Y-linked_genes,X-linked_genes,Chr_Y_gene_expression_PC1,Chr_X,Chr_1
ACH-001819,MFM223_BREAST,NA,Female,NA,breast,Y-,XX,Female_XXhet,1.64E-06,0.927343229,4.553227283,NA,NA
ACH-001820,COLO824_BREAST,NA,Female,NA,breast,Y-,X,Female_X0,5.67E-09,0.530603991,4.540459617,NA,NA
ACH-001850,G415_BILIARY_TRACT,NA,Male,NA,bile_duct,Y-,X,Male_X0,7.55E-07,0.616657486,4.553046287,NA,NA
ACH-001852,HKGZCC_BILIARY_TRACT,NA,Male,NA,bile_duct,NA,XX,NA,0.666518702,0.810143403,-1.861925735,NA,NA
ACH-001853,KMCH1_BILIARY_TRACT,NA,Male,NA,bile_duct,Y-,X,Male_X0,0.000100484,0.627442426,4.553227283,NA,NA
ACH-001856,RBE_BILIARY_TRACT,NA,Female,NA,bile_duct,Y-,XX,Female_XXhet,2.09E-07,0.818442831,4.553227283,NA,NA
ACH-001857,SG231_BILIARY_TRACT,NA,Male,NA,bile_duct,Y-,X,Male_X0,0.023598928,0.744011083,4.185476586,NA,NA
ACH-001858,SSP25_BILIARY_TRACT,NA,Female,NA,bile_duct,Y-,X,Female_X0,0.000741982,0.705315867,4.553227283,NA,NA
ACH-001861,TGBC1TKB_BILIARY_TRACT,NA,Female,NA,bile_duct,Y-,X,Female_X0,1.01E-06,0.762567863,4.553227283,NA,NA
ACH-001862,TGBC52TKB_BILIARY_TRACT,NA,Male,NA,bile_duct,Y-,X,Male_X0,6.18E-05,0.587977604,4.553227283,NA,NA
ACH-001863,TKKK_BILIARY_TRACT,NA,Male,NA,bile_duct,Y+,X,Male_XY,0.673892385,0.70172632,-8.512171547,NA,NA
ACH-001864,YSCCC_BILIARY_TRACT,NA,Female,NA,bile_duct,Y-,XX,Female_XXhet,1.55E-05,0.853023486,4.473676015,NA,NA
ACH-001955,JHC7_BONE,NA,Female,NA,bone,NA,XX,Female_XXhet,NA,0.90025427,NA,NA,NA
ACH-001956,MUGCHOR1_BONE,NA,Female,57,bone,NA,XX,Female_XXhet,NA,0.927592568,NA,NA,NA
ACH-001957,UMCHOR1_BONE,NA,Male,64,bone,NA,X,NA,NA,0.650809545,NA,NA,NA
ACH-001959,CCLP1_BILIARY_TRACT,NA,Miss_classification,NA,bile_duct,Y+,X,NA,0.562637799,0.65504509,-8.042410962,NA,NA
ACH-001960,CCSW1_BILIARY_TRACT,NA,Female,NA,bile_duct,Y-,X,Female_X0,5.25E-06,0.527536703,4.553227283,NA,NA
ACH-001970,MM253_SKIN,NA,Male,NA,skin,Y-,X,Male_X0,5.28E-08,0.577282796,4.553227283,NA,NA
ACH-001973,MM485_SKIN,NA,Male,NA,skin,Y+,X,Male_XY,0.572131994,0.530564702,-8.265656384,NA,NA
ACH-001977,NO36_LUNG,NA,Male,NA,lung,Y+,X,Male_XY,0.315682271,0.802485909,-5.15977502,NA,NA
ACH-001982,NZM3_SKIN,NA,Male,69,skin,Y+,X,Male_XY,0.690080942,0.670411148,-8.185327915,NA,NA
ACH-001991,NZOV9_OVARY,NA,Female,47,ovary,Y-,XX,Female_XXhet,1.38E-05,1.2137275,4.553227283,NA,NA
ACH-001992,ONE58_LUNG,NA,Male,NA,lung,Y+,X,Male_XY,0.684233168,0.771717345,-8.742450983,NA,NA
ACH-001993,NALM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Female,12,blood,Y-,X,Female_X0,1.02E-09,0.696184336,4.553227283,NA,NA
ACH-002005,SKMEL19_SKIN,NA,Male,50,skin,Y-,X,Male_X0,7.20E-06,0.796240978,4.553227283,NA,NA
ACH-002014,MEL270_UVEA,NA,Male,62,eye,NA,X,NA,0.136383978,0.593266048,-3.561014981,NA,NA
ACH-002015,MEL285_UVEA,NA,Female,49,eye,Y-,XX,Female_XXhet,3.88E-06,1.037943306,4.544026997,NA,NA
